Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
55+,Female,Undergraduate,29975.0,West,1–2 hours,Facebook,Services,Very likely,"Friend recommendations, Visual appeal",Yes,Neutral,1175.0,No,Uncomfortable,"Others, Too many choices",Rarely,2.0,Open but cautious
35–44,Female,Postgraduate,13565.0,Central/Other,2+ hours,"Email, Google Ads, Instagram",Apparel,Neutral,"Brand reputation, Product reviews",Yes,Neutral,491.0,Yes,Very uncomfortable,"Lack of trust, Not enough discounts",Often,1.0,Skeptical
25–34,Male,Postgraduate,41185.0,South,<30 mins,"Email, Facebook, Other",Groceries,Very likely,"Friend recommendations, Product reviews",Yes,Neutral,191.0,Yes,Comfortable,Too many choices,Rarely,5.0,Excited
25–34,Male,Undergraduate,118091.0,West,30–60 mins,Facebook,Electronics,Unlikely,"Personalization, Visual appeal",No,Likely,943.0,No,Neutral,Not enough discounts,Often,3.0,Excited
45–54,Male,Postgraduate,9725.0,Central/Other,1–2 hours,"Facebook, Other, SMS",Electronics,Likely,"Brand reputation, Discounts/Offers",Yes,Neutral,1242.0,No,Very comfortable,Others,Rarely,2.0,Disinterested
35–44,Male,High school,51381.0,South,1–2 hours,Google Ads,Apparel,Unlikely,"Brand reputation, Product reviews",Yes,Unlikely,1415.0,Maybe,Uncomfortable,Complicated checkout,Never,2.0,Open but cautious
18–24,Male,High school,33058.0,Central/Other,<30 mins,SMS,Services,Very likely,"Friend recommendations, Product reviews",Yes,Unlikely,2330.0,No,Very comfortable,Lack of trust,Sometimes,1.0,Open but cautious
45–54,Female,Postgraduate,82196.0,Central/Other,1–2 hours,"Email, Google Ads, Instagram",Electronics,Likely,"Friend recommendations, Visual appeal",Yes,Neutral,349.0,Yes,Neutral,"Not enough discounts, Others, Too many choices",Rarely,1.0,Open but cautious
45–54,Female,Undergraduate,17607.0,West,30–60 mins,"Email, Other, SMS",Electronics,Likely,"Brand reputation, Personalization",No,Likely,1182.0,Yes,Comfortable,"Others, Slow delivery",Often,3.0,Excited
45–54,Female,Postgraduate,43957.0,South,30–60 mins,"Google Ads, Instagram, SMS",Groceries,Likely,"Brand reputation, Product reviews",No,Likely,1044.0,Yes,Comfortable,Complicated checkout,Sometimes,2.0,Neutral
35–44,Female,Postgraduate,8171.0,West,1–2 hours,"Facebook, Instagram",Groceries,Unlikely,"Product reviews, Visual appeal",No,Likely,563.0,Yes,Very comfortable,"Complicated checkout, Others",Always,1.0,Excited
35–44,Female,High school,12274.0,North,2+ hours,Facebook,Other,Very unlikely,"Discounts/Offers, Product reviews",No,Unlikely,1793.0,Yes,Neutral,"Not enough discounts, Others, Too many choices",Often,2.0,Open but cautious
25–34,Female,Postgraduate,10306.0,North,30–60 mins,"Facebook, Other",Electronics,Very likely,"Discounts/Offers, Friend recommendations",Yes,Neutral,923.0,Yes,Very comfortable,Too many choices,Rarely,3.0,Open but cautious
45–54,Non-binary/Other,Undergraduate,118503.0,South,2+ hours,"Email, Other, SMS",Electronics,Neutral,"Discounts/Offers, Visual appeal",Yes,Neutral,1037.0,Yes,Uncomfortable,Lack of trust,Often,2.0,Skeptical
45–54,Male,Undergraduate,56082.0,Central/Other,30–60 mins,Google Ads,Other,Unlikely,"Product reviews, Visual appeal",Yes,Neutral,652.0,Yes,Uncomfortable,"Complicated checkout, Not enough discounts, Others",,5.0,Open but cautious
Under 18,Male,Undergraduate,40422.0,West,1–2 hours,"Email, Facebook, Other",Groceries,Likely,"Personalization, Visual appeal",Yes,Neutral,1161.0,Maybe,Neutral,"Complicated checkout, Not enough discounts, Others",Sometimes,2.0,Excited
Under 18,Male,Postgraduate,45541.0,West,30–60 mins,"Instagram, Other",Apparel,Likely,"Discounts/Offers, Personalization",Yes,Neutral,1458.0,Yes,Comfortable,"Complicated checkout, Others, Slow delivery",Often,4.0,Open but cautious
25–34,,High school,9209.0,South,2+ hours,"Instagram, SMS",Apparel,Very unlikely,"Personalization, Visual appeal",No,Neutral,1154.0,No,Neutral,"Not enough discounts, Slow delivery",Sometimes,4.0,Excited
45–54,Female,Undergraduate,18508.0,South,2+ hours,"Facebook, Google Ads",Services,Neutral,"Product reviews, Visual appeal",Yes,Likely,1655.0,Maybe,Comfortable,Not enough discounts,Sometimes,3.0,Excited
55+,Male,Undergraduate,11678.0,North,<30 mins,"Email, Facebook, Instagram",Electronics,Very unlikely,"Discounts/Offers, Friend recommendations",No,Unlikely,808.0,No,Comfortable,Not enough discounts,Sometimes,3.0,Excited
18–24,Female,Undergraduate,18522.0,East,2+ hours,Facebook,Groceries,Neutral,"Friend recommendations, Product reviews",Yes,Likely,1527.0,Maybe,Uncomfortable,Complicated checkout,Rarely,3.0,Open but cautious
25–34,Male,Undergraduate,19691.0,South,2+ hours,"Instagram, Other, SMS",Electronics,Very likely,"Friend recommendations, Visual appeal",Yes,Unlikely,1552.0,Yes,Very comfortable,"Not enough discounts, Too many choices",Rarely,5.0,Excited
25–34,Female,High school,16676.0,East,1–2 hours,"Email, Facebook, Other",Apparel,Very likely,"Discounts/Offers, Visual appeal",Yes,Very unlikely,1435.0,Maybe,Very uncomfortable,Not enough discounts,Sometimes,5.0,Open but cautious
55+,Male,Undergraduate,12891.0,South,30–60 mins,Instagram,Groceries,Likely,"Discounts/Offers, Friend recommendations",Yes,Very likely,1770.0,Maybe,Very comfortable,"Complicated checkout, Lack of trust",Rarely,2.0,Disinterested
45–54,Male,Undergraduate,8721.0,Central/Other,2+ hours,"Email, Google Ads, Other",Apparel,Unlikely,"Friend recommendations, Visual appeal",Yes,Very likely,820.0,Maybe,Neutral,"Lack of trust, Not enough discounts, Slow delivery",Never,1.0,Neutral
45–54,Male,Postgraduate,11267.0,Central/Other,2+ hours,"Google Ads, Other",Electronics,Very likely,"Discounts/Offers, Visual appeal",Yes,Very unlikely,747.0,Yes,Neutral,Lack of trust,Never,4.0,Excited
25–34,Male,Undergraduate,8880.0,North,30–60 mins,"Facebook, Other",Electronics,Likely,"Brand reputation, Product reviews",Yes,Neutral,671.0,Yes,Neutral,"Lack of trust, Others, Slow delivery",Sometimes,4.0,Open but cautious
25–34,Male,High school,89794.0,North,2+ hours,Email,Electronics,Unlikely,"Product reviews, Visual appeal",Yes,Unlikely,525.0,Yes,Uncomfortable,Too many choices,Sometimes,4.0,Neutral
25–34,Male,Postgraduate,26749.0,East,<30 mins,"Instagram, Other",Groceries,Very likely,"Friend recommendations, Personalization",Yes,Neutral,743.0,No,Neutral,Not enough discounts,Often,2.0,Skeptical
18–24,Female,High school,98872.0,South,<30 mins,Google Ads,Services,Likely,"Brand reputation, Discounts/Offers",No,Likely,790.0,Maybe,Uncomfortable,"Complicated checkout, Lack of trust, Not enough discounts",Sometimes,2.0,Excited
45–54,Female,Other,18166.0,West,1–2 hours,"Google Ads, SMS",Groceries,Likely,"Brand reputation, Product reviews",No,Very likely,674.0,Yes,Uncomfortable,"Lack of trust, Others",Sometimes,3.0,Skeptical
45–54,Male,Undergraduate,13474.0,North,1–2 hours,"Email, Facebook, SMS",Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Neutral,1030.0,No,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,1.0,Open but cautious
55+,Female,Postgraduate,39628.0,West,1–2 hours,"Email, Other",Apparel,Neutral,"Discounts/Offers, Product reviews",No,Neutral,425.0,No,Neutral,"Lack of trust, Not enough discounts",Sometimes,3.0,Open but cautious
55+,Female,Undergraduate,16479.0,West,<30 mins,"Email, Instagram",Electronics,Neutral,"Product reviews, Visual appeal",No,Neutral,1770.0,No,Comfortable,"Lack of trust, Slow delivery",Sometimes,2.0,Disinterested
25–34,Male,High school,14182.0,South,2+ hours,Facebook,Services,Likely,"Discounts/Offers, Product reviews",No,Neutral,979.0,Maybe,Neutral,"Not enough discounts, Slow delivery, Too many choices",Always,5.0,Neutral
35–44,Male,Undergraduate,13450.0,East,<30 mins,"Instagram, Other, SMS",Services,Neutral,"Personalization, Product reviews",Yes,Very likely,1236.0,Maybe,Very comfortable,"Complicated checkout, Lack of trust",Always,3.0,Skeptical
45–54,Male,Postgraduate,11096.0,South,<30 mins,"Facebook, Instagram, Other",Services,Neutral,"Brand reputation, Personalization",Yes,Likely,546.0,Yes,Comfortable,"Lack of trust, Not enough discounts",Often,2.0,Open but cautious
45–54,Male,Undergraduate,18647.0,North,<30 mins,Instagram,Apparel,Likely,"Brand reputation, Visual appeal",No,Neutral,1059.0,No,Comfortable,Others,Always,2.0,Open but cautious
18–24,Female,High school,15257.0,West,1–2 hours,Facebook,Electronics,Likely,"Personalization, Product reviews",Yes,Neutral,1411.0,Yes,Comfortable,"Not enough discounts, Others, Slow delivery",Sometimes,5.0,Neutral
25–34,Male,Postgraduate,31349.0,,2+ hours,SMS,Electronics,Likely,"Personalization, Product reviews",No,,1164.0,No,Neutral,"Not enough discounts, Slow delivery",Sometimes,5.0,Open but cautious
18–24,Female,Postgraduate,9590.0,South,1–2 hours,"Facebook, Other",Apparel,Likely,"Brand reputation, Personalization",No,Very unlikely,1918.0,Maybe,Comfortable,"Complicated checkout, Lack of trust, Slow delivery",Sometimes,5.0,Open but cautious
55+,Female,Undergraduate,17883.0,South,2+ hours,Instagram,Apparel,Likely,"Friend recommendations, Product reviews",Yes,Likely,1271.0,Maybe,Very uncomfortable,"Others, Too many choices",Sometimes,1.0,Open but cautious
35–44,Male,Postgraduate,45799.0,North,<30 mins,Google Ads,Services,Likely,"Brand reputation, Product reviews",Yes,Neutral,412.0,Yes,Very comfortable,"Complicated checkout, Lack of trust, Too many choices",Often,2.0,Excited
18–24,Female,Postgraduate,9435.0,East,1–2 hours,"Instagram, SMS",Apparel,Neutral,"Personalization, Product reviews",Yes,Neutral,819.0,Yes,Comfortable,"Not enough discounts, Slow delivery, Too many choices",Sometimes,5.0,Open but cautious
35–44,Male,Undergraduate,12224.0,South,30–60 mins,"Email, Facebook, Instagram",Apparel,Neutral,"Personalization, Visual appeal",Yes,Neutral,511.0,Yes,Uncomfortable,Complicated checkout,Always,1.0,Neutral
35–44,Non-binary/Other,High school,52467.0,North,30–60 mins,"Facebook, Google Ads, Other",Apparel,Neutral,"Personalization, Visual appeal",Yes,Likely,1717.0,No,Comfortable,"Complicated checkout, Lack of trust, Not enough discounts",Rarely,4.0,Skeptical
25–34,Male,Undergraduate,9654.0,West,<30 mins,Email,Services,Unlikely,"Brand reputation, Visual appeal",Yes,Unlikely,1054.0,Yes,Very uncomfortable,Not enough discounts,Often,4.0,Open but cautious
18–24,Female,High school,8432.0,Central/Other,1–2 hours,"Email, Google Ads, Other",Electronics,Neutral,"Friend recommendations, Visual appeal",Yes,Likely,1981.0,No,Uncomfortable,Slow delivery,Sometimes,4.0,Neutral
35–44,Female,Undergraduate,12265.0,North,1–2 hours,"Facebook, Google Ads",Groceries,Neutral,"Brand reputation, Visual appeal",Yes,Likely,429.0,Yes,Very uncomfortable,"Lack of trust, Others, Slow delivery",Sometimes,2.0,Excited
25–34,Male,Undergraduate,12954.0,Central/Other,1–2 hours,Email,Services,Likely,"Discounts/Offers, Visual appeal",No,Very likely,841.0,Yes,Comfortable,"Lack of trust, Too many choices",Rarely,1.0,Skeptical
35–44,Female,High school,24525.0,South,30–60 mins,Facebook,Apparel,Very likely,"Personalization, Product reviews",Yes,Neutral,1282.0,Yes,Comfortable,Slow delivery,Often,1.0,
25–34,Non-binary/Other,Undergraduate,46560.0,South,<30 mins,Google Ads,Groceries,Unlikely,"Personalization, Visual appeal",No,Unlikely,729.0,Maybe,Comfortable,"Others, Too many choices",Always,4.0,Neutral
45–54,Female,High school,11524.0,North,1–2 hours,"Email, Google Ads, Other",Apparel,Likely,"Discounts/Offers, Product reviews",No,Neutral,103.0,Maybe,Very uncomfortable,"Complicated checkout, Lack of trust, Others",Rarely,3.0,Neutral
25–34,Female,Postgraduate,39159.0,Central/Other,30–60 mins,"Instagram, Other, SMS",Apparel,Likely,"Discounts/Offers, Product reviews",Yes,Neutral,424.0,Yes,Neutral,"Others, Slow delivery",Sometimes,4.0,Open but cautious
25–34,Female,Postgraduate,23125.0,South,2+ hours,"Facebook, Other, SMS",Services,Unlikely,"Discounts/Offers, Visual appeal",No,Unlikely,2212.0,Yes,Comfortable,"Complicated checkout, Not enough discounts, Too many choices",Sometimes,2.0,Open but cautious
45–54,Male,High school,8479.0,West,1–2 hours,"Facebook, Google Ads, Instagram",Groceries,Very likely,"Brand reputation, Friend recommendations",Yes,Neutral,1778.0,No,Uncomfortable,Others,Always,4.0,Disinterested
25–34,Male,Postgraduate,31707.0,East,30–60 mins,Instagram,Electronics,Likely,"Friend recommendations, Visual appeal",No,Neutral,729.0,Yes,Comfortable,"Complicated checkout, Not enough discounts",Sometimes,4.0,Excited
18–24,Female,Undergraduate,13354.0,East,2+ hours,"Facebook, Other",Electronics,Neutral,"Discounts/Offers, Friend recommendations",Yes,Likely,1125.0,No,Uncomfortable,"Not enough discounts, Too many choices",Rarely,1.0,Neutral
Under 18,Male,Undergraduate,15323.0,South,1–2 hours,"Email, SMS",Electronics,Likely,"Discounts/Offers, Personalization",Yes,Very unlikely,535.0,Maybe,Uncomfortable,"Not enough discounts, Others",Sometimes,4.0,Disinterested
35–44,Female,High school,11878.0,Central/Other,<30 mins,"Email, SMS",Apparel,Neutral,"Discounts/Offers, Product reviews",Yes,Neutral,786.0,No,Neutral,"Slow delivery, Too many choices",Sometimes,5.0,Open but cautious
35–44,Female,Undergraduate,12890.0,South,1–2 hours,"Instagram, Other",Apparel,Likely,"Personalization, Visual appeal",Yes,Likely,409.0,No,Comfortable,Others,Never,5.0,Skeptical
35–44,Male,Postgraduate,,Central/Other,30–60 mins,Email,Apparel,Very unlikely,"Brand reputation, Personalization",Yes,Likely,2903.0,No,Uncomfortable,"Complicated checkout, Others",Sometimes,3.0,Disinterested
18–24,Male,Undergraduate,48135.0,West,2+ hours,"Email, Facebook",Apparel,Likely,"Discounts/Offers, Visual appeal",Yes,Likely,1128.0,Maybe,Uncomfortable,"Lack of trust, Not enough discounts",Always,2.0,Neutral
18–24,Female,High school,8924.0,Central/Other,2+ hours,"Email, Instagram, SMS",Services,Neutral,"Product reviews, Visual appeal",Yes,Likely,813.0,Maybe,Uncomfortable,"Complicated checkout, Lack of trust, Others",Often,2.0,Open but cautious
Under 18,Male,High school,14171.0,South,2+ hours,"Other, SMS",Apparel,Likely,"Discounts/Offers, Personalization",Yes,Very likely,338.0,No,Uncomfortable,"Lack of trust, Slow delivery, Too many choices",Never,1.0,Open but cautious
25–34,Female,Undergraduate,13903.0,West,1–2 hours,"Email, Google Ads, Instagram",Apparel,Neutral,"Friend recommendations, Visual appeal",Yes,Neutral,893.0,Yes,Uncomfortable,Not enough discounts,Always,2.0,Excited
25–34,Male,Undergraduate,25507.0,North,30–60 mins,"Instagram, SMS",Electronics,Likely,"Personalization, Product reviews",Yes,Neutral,814.0,No,Neutral,"Not enough discounts, Slow delivery",Sometimes,3.0,Skeptical
25–34,Female,High school,33651.0,East,1–2 hours,"Email, Google Ads, Instagram",Services,Likely,"Friend recommendations, Visual appeal",Yes,Very unlikely,652.0,Yes,Comfortable,Slow delivery,Rarely,5.0,Skeptical
25–34,Male,Undergraduate,22396.0,South,<30 mins,Facebook,Apparel,Likely,"Brand reputation, Visual appeal",Yes,Very unlikely,834.0,No,Neutral,"Others, Too many choices",Never,1.0,Neutral
45–54,Female,Postgraduate,35311.0,South,1–2 hours,"Email, Google Ads, SMS",Apparel,Likely,"Brand reputation, Product reviews",No,Unlikely,467.0,No,Comfortable,"Not enough discounts, Others",Rarely,5.0,Open but cautious
25–34,Male,Postgraduate,48227.0,South,1–2 hours,Google Ads,Electronics,Likely,"Brand reputation, Visual appeal",Yes,Unlikely,1891.0,Yes,Comfortable,"Lack of trust, Slow delivery",Often,3.0,Excited
25–34,Female,Undergraduate,15590.0,West,<30 mins,"Google Ads, Instagram, Other",Groceries,Very likely,"Discounts/Offers, Product reviews",No,Unlikely,1761.0,Yes,Uncomfortable,"Others, Slow delivery",Never,1.0,Neutral
35–44,Male,Postgraduate,25516.0,North,30–60 mins,"Facebook, Other",Electronics,,"Friend recommendations, Personalization",Yes,Unlikely,2079.0,No,Very uncomfortable,Lack of trust,Rarely,4.0,Neutral
25–34,Female,Undergraduate,59055.0,Central/Other,2+ hours,"Facebook, Instagram",Services,Likely,"Brand reputation, Visual appeal",No,Very unlikely,309.0,Maybe,Very comfortable,Complicated checkout,Often,2.0,Skeptical
35–44,Female,Undergraduate,96134.0,North,2+ hours,,Other,Likely,"Discounts/Offers, Friend recommendations",Yes,Very likely,2807.0,No,Uncomfortable,"Complicated checkout, Slow delivery",Sometimes,3.0,Neutral
45–54,Male,High school,56973.0,West,<30 mins,Facebook,,Neutral,"Brand reputation, Visual appeal",Yes,Very unlikely,987.0,No,Uncomfortable,Not enough discounts,Often,1.0,Skeptical
45–54,Male,Undergraduate,19517.0,South,<30 mins,SMS,Groceries,Neutral,"Brand reputation, Friend recommendations",Yes,Likely,410.0,Yes,Very uncomfortable,"Complicated checkout, Not enough discounts, Slow delivery",Sometimes,5.0,Neutral
18–24,Male,Other,11218.0,East,30–60 mins,"Facebook, Instagram, SMS",Electronics,Neutral,"Personalization, Visual appeal",Yes,Unlikely,496.0,No,Comfortable,Too many choices,Never,1.0,Neutral
45–54,Female,Undergraduate,15139.0,South,2+ hours,"Google Ads, Other, SMS",Apparel,Likely,"Personalization, Product reviews",Yes,Very likely,1022.0,No,Comfortable,Lack of trust,Often,4.0,Open but cautious
25–34,Female,Undergraduate,29096.0,Central/Other,<30 mins,"Email, SMS",Other,Neutral,"Discounts/Offers, Friend recommendations",Yes,Likely,1305.0,No,Very comfortable,"Complicated checkout, Not enough discounts",Rarely,3.0,Skeptical
25–34,Female,Undergraduate,,East,1–2 hours,"Facebook, Google Ads, SMS",Electronics,Likely,"Brand reputation, Personalization",No,Likely,731.0,Yes,Very comfortable,Others,Sometimes,1.0,Neutral
25–34,Male,High school,16087.0,South,<30 mins,"Google Ads, Instagram, Other",Apparel,Likely,"Brand reputation, Personalization",Yes,Likely,780.0,No,Neutral,"Complicated checkout, Lack of trust, Not enough discounts",Sometimes,3.0,Open but cautious
55+,Male,Postgraduate,50362.0,East,1–2 hours,"Email, Facebook, Other",,Neutral,"Personalization, Visual appeal",Yes,Very unlikely,704.0,Yes,Neutral,"Lack of trust, Others",Rarely,3.0,Excited
25–34,Female,Undergraduate,12340.0,North,30–60 mins,"Facebook, Google Ads, Instagram",Apparel,Likely,"Discounts/Offers, Friend recommendations",No,Very likely,1605.0,Yes,Neutral,Too many choices,Always,5.0,Open but cautious
25–34,Male,Undergraduate,44271.0,West,1–2 hours,"Email, Other, SMS",Electronics,Neutral,"Brand reputation, Friend recommendations",Yes,Likely,636.0,Maybe,Uncomfortable,"Complicated checkout, Too many choices",Sometimes,2.0,Open but cautious
35–44,Prefer not to say,Undergraduate,18020.0,South,30–60 mins,"Facebook, Instagram, Other",Electronics,Unlikely,"Friend recommendations, Visual appeal",No,Likely,632.0,Yes,Uncomfortable,"Complicated checkout, Not enough discounts, Others",Never,4.0,Open but cautious
18–24,Male,Undergraduate,13715.0,Central/Other,1–2 hours,Facebook,Electronics,Likely,"Personalization, Visual appeal",Yes,Likely,2888.0,Yes,Uncomfortable,"Complicated checkout, Not enough discounts, Others",Always,1.0,Open but cautious
18–24,Female,High school,16693.0,North,30–60 mins,"Google Ads, Other",Services,Unlikely,"Discounts/Offers, Personalization",No,Neutral,550.0,No,Uncomfortable,"Not enough discounts, Others, Too many choices",Sometimes,2.0,Open but cautious
18–24,Male,Undergraduate,36941.0,South,1–2 hours,"Google Ads, Instagram",Apparel,Neutral,"Friend recommendations, Visual appeal",Yes,Likely,434.0,Maybe,Uncomfortable,"Lack of trust, Slow delivery",Sometimes,5.0,Excited
18–24,Male,High school,9159.0,North,2+ hours,Google Ads,Electronics,Very likely,"Brand reputation, Personalization",No,Unlikely,1030.0,Yes,Neutral,Lack of trust,Sometimes,2.0,Skeptical
18–24,Female,Undergraduate,11926.0,Central/Other,<30 mins,Email,Electronics,Neutral,"Discounts/Offers, Friend recommendations",No,Neutral,734.0,Maybe,Very comfortable,"Complicated checkout, Lack of trust",Often,3.0,Open but cautious
18–24,Female,Postgraduate,71280.0,South,2+ hours,"Email, SMS",Groceries,Very likely,"Discounts/Offers, Product reviews",Yes,Very unlikely,1110.0,Maybe,Comfortable,"Lack of trust, Too many choices",Never,3.0,Open but cautious
35–44,Prefer not to say,Postgraduate,9356.0,Central/Other,1–2 hours,"Email, Other, SMS",Groceries,Very likely,"Friend recommendations, Personalization",,Very likely,1704.0,Yes,Very comfortable,"Complicated checkout, Not enough discounts",Rarely,4.0,Excited
18–24,Male,Undergraduate,39952.0,East,<30 mins,"Facebook, Google Ads, SMS",Electronics,Neutral,"Friend recommendations, Personalization",Yes,Unlikely,942.0,Yes,Neutral,"Not enough discounts, Others, Too many choices",Sometimes,1.0,Open but cautious
25–34,Male,Undergraduate,26478.0,Central/Other,30–60 mins,"Google Ads, Instagram, SMS",Groceries,Very unlikely,"Discounts/Offers, Product reviews",No,Unlikely,1158.0,Yes,Neutral,"Slow delivery, Too many choices",Never,1.0,Open but cautious
45–54,Female,High school,19501.0,East,30–60 mins,Other,Apparel,Likely,"Brand reputation, Visual appeal",Yes,Neutral,1796.0,Maybe,Neutral,"Lack of trust, Others, Too many choices",Sometimes,5.0,Skeptical
25–34,Female,Postgraduate,37401.0,South,1–2 hours,"Email, Google Ads, Instagram",Services,Likely,"Discounts/Offers, Personalization",Yes,Likely,1220.0,Yes,Uncomfortable,"Lack of trust, Not enough discounts, Slow delivery",Sometimes,4.0,Neutral
35–44,Male,Undergraduate,18471.0,East,1–2 hours,"Facebook, Google Ads",Electronics,Unlikely,"Brand reputation, Personalization",Yes,Neutral,735.0,Yes,Uncomfortable,"Not enough discounts, Others",Rarely,1.0,Open but cautious
18–24,Male,Undergraduate,22063.0,South,<30 mins,"Facebook, SMS",Groceries,Likely,"Discounts/Offers, Visual appeal",Yes,Unlikely,1830.0,No,Very comfortable,,Never,3.0,Neutral
18–24,Male,Undergraduate,12839.0,South,1–2 hours,"Google Ads, Instagram, SMS",Apparel,Very unlikely,"Brand reputation, Visual appeal",Yes,Very unlikely,1335.0,No,Very comfortable,Slow delivery,Sometimes,4.0,Open but cautious
Under 18,Female,High school,39881.0,West,2+ hours,"Google Ads, Instagram",Apparel,Very likely,"Brand reputation, Discounts/Offers",No,Likely,2428.0,No,Very uncomfortable,"Lack of trust, Not enough discounts, Too many choices",Often,2.0,Disinterested
18–24,Male,Undergraduate,9813.0,South,2+ hours,"Other, SMS",Electronics,Unlikely,"Discounts/Offers, Visual appeal",Yes,Very likely,2035.0,No,Uncomfortable,Slow delivery,Sometimes,4.0,Disinterested
25–34,Male,High school,31672.0,East,1–2 hours,"Facebook, Instagram",Services,Unlikely,"Discounts/Offers, Product reviews",No,Likely,733.0,Yes,Neutral,"Complicated checkout, Not enough discounts",Sometimes,4.0,Open but cautious
18–24,Male,Undergraduate,10160.0,West,2+ hours,"Other, SMS",Electronics,Unlikely,"Discounts/Offers, Visual appeal",Yes,Neutral,1097.0,No,Uncomfortable,"Lack of trust, Not enough discounts",Rarely,1.0,Neutral
18–24,Male,Undergraduate,18117.0,West,1–2 hours,"Google Ads, Other",Services,Very likely,"Brand reputation, Discounts/Offers",Yes,Very likely,960.0,No,Neutral,Lack of trust,Sometimes,5.0,Skeptical
18–24,Male,High school,13452.0,South,30–60 mins,"Email, Facebook, Google Ads",Electronics,Likely,"Discounts/Offers, Personalization",Yes,Neutral,311.0,Maybe,Uncomfortable,Slow delivery,Never,5.0,Neutral
25–34,Female,Undergraduate,10048.0,Central/Other,2+ hours,"Email, Facebook, Instagram",Electronics,Likely,"Friend recommendations, Product reviews",Yes,Neutral,537.0,Yes,Neutral,Lack of trust,Sometimes,,Neutral
18–24,Male,High school,42314.0,Central/Other,30–60 mins,"Email, Facebook, SMS",Apparel,Neutral,"Product reviews, Visual appeal",No,Neutral,2863.0,Maybe,Neutral,"Others, Slow delivery, Too many choices",Sometimes,1.0,Disinterested
25–34,Female,Undergraduate,13515.0,West,30–60 mins,Google Ads,Services,Neutral,"Discounts/Offers, Friend recommendations",No,Neutral,522.0,No,Neutral,"Complicated checkout, Too many choices",Always,1.0,Open but cautious
25–34,Male,Undergraduate,57616.0,South,30–60 mins,"Instagram, SMS",Apparel,Neutral,"Discounts/Offers, Visual appeal",Yes,Likely,738.0,Yes,Uncomfortable,Lack of trust,Sometimes,5.0,Neutral
35–44,Female,High school,69838.0,Central/Other,2+ hours,Instagram,,Likely,"Personalization, Visual appeal",Yes,Neutral,780.0,Maybe,Neutral,Complicated checkout,Often,1.0,Skeptical
Under 18,Female,Postgraduate,25832.0,South,2+ hours,Google Ads,Services,Likely,"Personalization, Visual appeal",Yes,Neutral,886.0,Yes,Very comfortable,,,2.0,Neutral
35–44,Female,High school,10999.0,South,30–60 mins,"Email, Facebook",Services,Likely,"Discounts/Offers, Visual appeal",No,Unlikely,801.0,Maybe,Neutral,Complicated checkout,Always,2.0,Neutral
35–44,Female,High school,15441.0,West,30–60 mins,"Email, Instagram",Electronics,Neutral,"Discounts/Offers, Personalization",No,Very unlikely,2540.0,Maybe,Very comfortable,"Lack of trust, Not enough discounts, Slow delivery",Sometimes,3.0,Open but cautious
18–24,Male,Undergraduate,24057.0,West,30–60 mins,"Facebook, Google Ads, Instagram",Groceries,Very likely,"Friend recommendations, Visual appeal",No,Neutral,555.0,Yes,Comfortable,"Not enough discounts, Slow delivery, Too many choices",Rarely,2.0,Open but cautious
45–54,Male,Undergraduate,12306.0,North,1–2 hours,Facebook,Groceries,Unlikely,"Friend recommendations, Product reviews",Yes,Unlikely,195.0,Yes,Very comfortable,Lack of trust,Often,4.0,Excited
45–54,Female,High school,10059.0,Central/Other,30–60 mins,Email,Apparel,Very likely,"Discounts/Offers, Product reviews",Yes,Unlikely,1060.0,Yes,Comfortable,"Lack of trust, Not enough discounts, Others",Never,3.0,Open but cautious
18–24,Prefer not to say,Undergraduate,21690.0,Central/Other,1–2 hours,"Email, Facebook",Groceries,Very unlikely,"Brand reputation, Personalization",Yes,Likely,1284.0,Yes,Comfortable,Lack of trust,Rarely,2.0,Open but cautious
25–34,Female,Undergraduate,43918.0,Central/Other,30–60 mins,Google Ads,Apparel,Likely,"Brand reputation, Product reviews",Yes,Likely,1546.0,Yes,Very comfortable,Too many choices,Never,4.0,Disinterested
45–54,Female,Postgraduate,22937.0,East,30–60 mins,Facebook,Electronics,Neutral,"Brand reputation, Visual appeal",Yes,Likely,2591.0,Yes,Uncomfortable,"Others, Too many choices",Often,2.0,Neutral
35–44,Female,Undergraduate,11862.0,South,<30 mins,"Google Ads, Other",Apparel,Neutral,"Friend recommendations, Visual appeal",Yes,Neutral,676.0,No,Neutral,Too many choices,Never,4.0,Neutral
18–24,Male,Postgraduate,34507.0,West,30–60 mins,"Email, Instagram, Other",Apparel,Likely,"Personalization, Visual appeal",Yes,Likely,104.0,Yes,Very comfortable,"Complicated checkout, Too many choices",Often,1.0,Open but cautious
18–24,Male,Postgraduate,16230.0,Central/Other,2+ hours,Email,Electronics,Neutral,"Discounts/Offers, Visual appeal",No,Very likely,610.0,Maybe,Comfortable,Too many choices,Sometimes,4.0,Skeptical
